Beograd,Banja Luka,Sarajevo,Novi Sad,Zagreb,Ljubljana,Podgorica,Split,Skopje,Zenica,date
96,91,76,61,47,63,32,14,44,57,2024-03-17
52,53,15,10,89,19,66,65,21,45,2024-03-18 00:00:00
19,66,65,21,45,42,50,31,3,9,2024-03-18 00:00:00
17,53,65,21,45,50,50,35,4,13,2024-03-18 00:00:00
17,54,65,21,45,50,50,35,4,17,2024-03-18 00:00:00
17,151,50,46,70,38,61,23,4,24,2024-03-19 00:00:00
66,109,55,88,76,38,68,28,0,28,2024-03-20 00:00:00
122,141,50,151,64,25,57,40,5,21,2024-03-20 00:00:00
77,124,63,97,128,46,63,50,2,21,2024-03-21 00:00:00
46,152,53,67,58,42,46,37,6,21,2024-03-21 00:00:00
92,71,55,101,31,46,46,66,4,21,2024-03-22 00:00:00
105,144,72,197,43,50,21,52,10,44,2024-03-22 00:00:00
54,121,85,56,75,55,61,52,9,63,2024-03-23 00:00:00
62,71,46,61,37,38,38,55,3,54,2024-03-23 00:00:00
6,24,30,17,4,34,9,67,0,60,2024-03-24 00:00:00
31,82,93,33,13,17,9,61,3,15,2024-03-24 00:00:00
89,180,17,38,18,9,13,35,8,17,2024-03-25 00:00:00
36,124,30,17,43,13,42,21,1,59,2024-03-26 00:00:00
15,74,46,46,35,42,34,58,5,33,2024-03-26 00:00:00
