Budva,Bar,Nikšić,Bijelo Polje,Pljevlja,date,Bijeljina,Tuzla,Doboj,Mostar,Bihac
19,34,149,150,154,2024-03-17,,,,,
17,34,149,150,154,2024-03-17 00:00:00,,,,,
28,34,149,150,154,2024-03-17 00:00:00,,,,,
28,34,149,150,154,2024-03-17 00:00:00,,,,,
18,34,149,150,154,2024-03-17 00:00:00,,,,,
18,34,149,150,154,2024-03-17 00:00:00,,,,,
17,34,149,150,154,2024-03-17 00:00:00,,,,,
18,31,21,53,58,2024-03-18 00:00:00,23.0,42.0,48.0,42.0,55.0
18,31,21,53,58,2024-03-18 00:00:00,28.0,42.0,38.0,42.0,55.0
18,32,29,50,40,2024-03-18 00:00:00,23.0,42.0,63.0,21.0,46.0
16,32,29,50,40,2024-03-18 00:00:00,26.0,53.0,76.0,21.0,46.0
9,28,36,43,46,2024-03-19 00:00:00,99.0,152.0,109.0,25.0,95.0
13,22,36,92,76,2024-03-20 00:00:00,74.0,84.0,126.0,21.0,74.0
22,28,79,86,57,2024-03-20 00:00:00,101.0,160.0,152.0,25.0,50.0
21,21,73,65,94,2024-03-21 00:00:00,92.0,77.0,134.0,34.0,70.0
16,21,67,75,75,2024-03-21 00:00:00,178.0,113.0,118.0,59.0,63.0
23,24,70,85,102,2024-03-22 00:00:00,64.0,93.0,102.0,53.0,59.0
24,27,74,96,59,2024-03-22 00:00:00,163.0,227.0,150.0,30.0,57.0
33,35,83,83,102,2024-03-23 00:00:00,58.0,82.0,118.0,46.0,85.0
33,41,72,60,72,2024-03-23 00:00:00,31.0,79.0,35.0,25.0,42.0
34,31,43,73,47,2024-03-24 00:00:00,31.0,16.0,5.0,34.0,13.0
43,30,44,45,109,2024-03-24 00:00:00,87.0,58.0,112.0,38.0,89.0
14,21,47,80,105,2024-03-25 00:00:00,98.0,186.0,143.0,9.0,13.0
4,21,56,53,69,2024-03-26 00:00:00,61.0,63.0,90.0,17.0,9.0
9,32,71,177,159,2024-03-26 00:00:00,40.0,55.0,48.0,30.0,42.0
