Dubrovnik,Pula,Osijek,Rijeka,Karlovac,date
62,78,53,35,282,2024-03-17
61,78,53,35,426,2024-03-17 00:00:00
60,78,53,35,500,2024-03-17 00:00:00
68,78,53,35,500,2024-03-17 00:00:00
63,78,53,35,500,2024-03-17 00:00:00
62,78,53,35,500,2024-03-17 00:00:00
51,64,26,50,0,2024-03-18 00:00:00
45,64,26,50,0,2024-03-18 00:00:00
52,66,26,50,0,2024-03-18 00:00:00
54,66,26,50,0,2024-03-18 00:00:00
28,62,25,31,500,2024-03-19 00:00:00
18,33,69,31,0,2024-03-20 00:00:00
71,44,32,28,0,2024-03-20 00:00:00
42,67,96,52,0,2024-03-21 00:00:00
50,48,79,54,43,2024-03-21 00:00:00
57,25,79,15,40,2024-03-22 00:00:00
75,25,79,25,58,2024-03-22 00:00:00
79,44,79,23,8,2024-03-23 00:00:00
78,46,79,40,20,2024-03-23 00:00:00
59,11,79,10,0,2024-03-24 00:00:00
5,18,79,15,500,2024-03-24 00:00:00
41,19,8,14,0,2024-03-25 00:00:00
12,11,48,13,0,2024-03-26 00:00:00
30,16,23,32,60,2024-03-26 00:00:00
