Niš,Subotica,Čačak,Kragujevac,Zaječar,date
160,129,59,125,367,2024-03-17
160,129,59,132,301,2024-03-17 00:00:00
160,149,76,134,237,2024-03-17 00:00:00
52,53,15,10,89,2024-03-18 00:00:00
51,53,14,11,89,2024-03-18 00:00:00
52,25,16,16,88,2024-03-18 00:00:00
52,24,18,17,112,2024-03-18 00:00:00
51,151,54,44,152,2024-03-19 00:00:00
96,122,51,50,127,2024-03-20 00:00:00
66,177,172,80,155,2024-03-20 00:00:00
91,104,98,52,150,2024-03-21 00:00:00
126,124,154,52,193,2024-03-21 00:00:00
93,153,22,71,104,2024-03-22 00:00:00
102,241,56,121,242,2024-03-22 00:00:00
85,150,40,52,153,2024-03-23 00:00:00
74,0,32,32,286,2024-03-23 00:00:00
80,38,8,17,86,2024-03-24 00:00:00
60,94,25,17,163,2024-03-24 00:00:00
73,166,56,79,271,2024-03-25 00:00:00
88,64,28,47,160,2024-03-26 00:00:00
71,46,44,24,139,2024-03-26 00:00:00
